"","id","sexo","edad","edad_r","hab","prov","ccaa","edu","cs","p1","p2","p3","p4_1","p4_2","p4_3","p4_4","p5","p6","p7","hab_r","clase_social_r","situacion_laboral_r","educacion_r","ponde"
"1","1","Hombre",64,"55-64","100.001 - 500.000","Coruña, A","Galicia","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","1","No votaré","Ciudadanos","No le votaría nunca 0","5","No le votaría nunca 0","4","No voté","5","5","Más de 10.000","Media","Trabaja","Segundo grado, segundo ciclo",0.76132
"2","2","Hombre",63,"55-64","20.001 - 50.000","Barcelona","Cataluña","Tercer Grado (Máster)","A1","8","Ciudadanos","Ciudadanos","6","5","6","2","Ciudadanos","5","7","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",1.113025
"3","3","Mujer",57,"55-64","100.001 - 500.000","Cádiz","Andalucía","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","D","Con toda seguridad, iría a votar 10","PP (Partido Popular)","PP (Partido Popular)","No le votaría nunca 0","Le votaría siempre 10","No le votaría nunca 0","8","PP (Partido Popular)","8","8","Más de 10.000","Media baja / Baja","Parado","Segundo grado, segundo ciclo",0.995409
"4","4","Hombre",35,"35-44","20.001 - 50.000","Jaén","Andalucía","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","A2","9","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","7","No le votaría nunca 0","8","No le votaría nunca 0","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En","3","5","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.881918
"5","5","Mujer",81,"65+","500.000+","Barcelona","Cataluña","Primer Grado (Certificado escolar, 1ª etapa de EGB, más o me","A2","No lo sé","No lo sé","No lo sé","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","No voté","No lo sé","No lo sé","Más de 10.000","Alta / Media Alta","Pensionista","Segundo grado, primer ciclo y menos",1.017735
"6","6","Mujer",64,"55-64","< 10.000","Tarragona","Cataluña","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","D","Con toda seguridad, iría a votar 10","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","Le votaría siempre 10","3","5","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","3","4","Menos de 10.000","Media baja / Baja","Pensionista","Segundo grado, segundo ciclo",1.120069
"7","7","Mujer",23,"18-24","50.001 - 100.000","Almería","Andalucía","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","A1","6","Vox","Vox","8","8","8","7","Vox","9","8","Más de 10.000","Alta / Media Alta","Trabaja","Segundo grado, segundo ciclo",1.235725
"8","8","Mujer",59,"55-64","100.001 - 500.000","Alicante/Alacant","Comunitat Valenciana","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","B","Con toda seguridad, iría a votar 10","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","9","2","7","2","PSOE (Partido Socialista Obrero Español)","4","3","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.556874
"9","9","Mujer",35,"35-44","10.001 - 20.000","Toledo","Castilla - La Mancha","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","D","Con toda seguridad, NO iría a votar 0","No votaré","Ninguno","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","No voté","5","Máximo centralismo 10","Más de 10.000","Media baja / Baja","Parado","Segundo grado, segundo ciclo",0.832999
"10","10","Hombre",45,"45-54","20.001 - 50.000","Ciudad Real","Castilla - La Mancha","Tercer Grado (Máster)","A2","9","PP (Partido Popular)","PP (Partido Popular)","No le votaría nunca 0","8","No le votaría nunca 0","6","Ciudadanos","7","5","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.651535
"11","11","Mujer",69,"65+","10.001 - 20.000","Valencia/València","Comunitat Valenciana","Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa,","C","Con toda seguridad, iría a votar 10","Más País (Equo, Compromís, CHA)","PSOE (Partido Socialista Obrero Español)","7","No le votaría nunca 0","7","No le votaría nunca 0","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En","3","5","Más de 10.000","Media","Pensionista","Segundo grado, primer ciclo y menos",1.022988
"12","12","Mujer",39,"35-44","20.001 - 50.000","Bizkaia","País Vasco","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","B","9","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","3","No le votaría nunca 0","9","No le votaría nunca 0","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En","2","4","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.955336
"13","13","Mujer",63,"55-64","20.001 - 50.000","Valencia/València","Comunitat Valenciana","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","E2","Con toda seguridad, iría a votar 10","Más País (Equo, Compromís, CHA)","Más País (Equo, Compromís, CHA)","5","No le votaría nunca 0","5","No le votaría nunca 0","Prefiero no contestar","2","1","Más de 10.000","Media baja / Baja","Pensionista","Tercer grado, primer ciclo",1.375518
"14","14","Mujer",47,"45-54","< 10.000","Lleida","Cataluña","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","B","Con toda seguridad, iría a votar 10","ERC - Sobiranistes","ERC - Sobiranistes","No le votaría nunca 0","No le votaría nunca 0","7","No le votaría nunca 0","ERC - Sobiranistes","2","Máxima descentralización 0","Menos de 10.000","Alta / Media Alta","Trabaja","Tercer grado, primer ciclo",0.802404
"15","15","Hombre",54,"45-54","20.001 - 50.000","Barcelona","Cataluña","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","Con toda seguridad, iría a votar 10","Vox","Vox","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","Le votaría siempre 10","Vox","Extrema derecha 10","Máximo centralismo 10","Más de 10.000","Media","Trabaja","Segundo grado, segundo ciclo",0.882826
"16","16","Hombre",67,"65+","10.001 - 20.000","Valencia/València","Comunitat Valenciana","Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa,","C","Con toda seguridad, iría a votar 10","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","5","No le votaría nunca 0","Le votaría siempre 10","No le votaría nunca 0","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En","3","2","Más de 10.000","Media","Pensionista","Segundo grado, primer ciclo y menos",1.030345
"17","17","Mujer",53,"45-54","10.001 - 20.000","Toledo","Castilla - La Mancha","Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa,","E2","9","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","9","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","1","No lo sé","Más de 10.000","Media baja / Baja","Parado","Segundo grado, primer ciclo y menos",1.275582
"18","18","Mujer",44,"35-44","20.001 - 50.000","Valencia/València","Comunitat Valenciana","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","E1","Con toda seguridad, iría a votar 10","Más País (Equo, Compromís, CHA)","Más País (Equo, Compromís, CHA)","7","No le votaría nunca 0","8","No le votaría nunca 0","Más País (Equo, Més Compromís, CHA)","2","3","Más de 10.000","Media baja / Baja","Trabaja","Tercer grado, primer ciclo",0.934446
"19","19","Mujer",34,"25-34","< 10.000","Asturias","Asturias, Principado de","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","B","Con toda seguridad, iría a votar 10","PP (Partido Popular)","PP (Partido Popular)","1","8","No le votaría nunca 0","6","PP (Partido Popular)","8","5","Menos de 10.000","Alta / Media Alta","Trabaja","Segundo grado, segundo ciclo",0.81201
"20","20","Hombre",45,"45-54","100.001 - 500.000","Navarra","Navarra, Comunidad Foral de","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","A2","Con toda seguridad, iría a votar 10","EH-Bildu (Euskal Herria Bildu)","EH-Bildu (Euskal Herria Bildu)","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","1","Máximo centralismo 10","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, primer ciclo",0.782006
"21","21","Mujer",66,"65+","< 10.000","Ourense","Galicia","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","B","Con toda seguridad, iría a votar 10","PP (Partido Popular)","Ciudadanos","No le votaría nunca 0","9","No le votaría nunca 0","4","PP (Partido Popular)","8","No lo sé","Menos de 10.000","Alta / Media Alta","Parado","Segundo grado, segundo ciclo",1.073962
"22","22","Hombre",24,"18-24","500.000+","Madrid","Madrid, Comunidad de","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","A1","7","Ciudadanos","PACMA (Partido Animalista Contra el Maltrato Animal)","1","3","1","5","Prefiero no contestar","7","7","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, primer ciclo",0.956652
