"","id","kidgen","momage","kidage","homecog","homeemo","occasion","anti","read","kidagetv","kidage6","kidagesq","kidagec","occasion2"
"1",22,0,28,6.08,13,10,0,1,2.1,6.08,0.0800000000000001,0.00640000000000001,0.000512000000000001,0
"2",22,0,28,6.08,13,10,1,2,3.9,8.08,2.08,4.3264,8.998912,1
"3",34,1,28,6.83,9,9,0,3,2.1,6.83,0.83,0.6889,0.571787,0
"4",34,1,28,6.83,9,9,1,6,2.9,8.83,2.83,8.0089,22.665187,1
"5",34,1,28,6.83,9,9,2,4,4.5,10.83,4.83,23.3289,112.678587,4
"6",34,1,28,6.83,9,9,3,5,4.5,12.83,6.83,46.6489,318.611987,9
"7",58,0,28,6.5,9,6,0,0,2.3,6.5,0.5,0.25,0.125,0
"8",58,0,28,6.5,9,6,1,2,4.5,8.5,2.5,6.25,15.625,1
"9",58,0,28,6.5,9,6,2,0,4.2,10.5,4.5,20.25,91.125,4
"10",58,0,28,6.5,9,6,3,1,4.6,12.5,6.5,42.25,274.625,9
"11",122,1,28,7.83,13,10,0,0,3.7,7.83,1.83,3.3489,6.128487,0
"12",122,1,28,7.83,13,10,1,3,8,9.83,3.83,14.6689,56.181887,1
"13",122,1,28,7.83,13,10,2,1,NA,11.83,5.83,33.9889,198.155287,4
"14",122,1,28,7.83,13,10,3,1,NA,13.83,7.83,61.3089,480.048687,9
"15",125,0,29,7.42,10,8,0,1,2.3,7.42,1.42,2.0164,2.863288,0
"16",125,0,29,7.42,10,8,1,1,3.8,9.42,3.42,11.6964,40.001688,1
"17",125,0,29,7.42,10,8,2,2,4.3,11.42,5.42,29.3764,159.220088,4
"18",125,0,29,7.42,10,8,3,1,6.2,13.42,7.42,55.0564,408.518488,9
"19",133,1,28,6.75,8,9,0,3,1.8,6.75,0.75,0.5625,0.421875,0
"20",133,1,28,6.75,8,9,1,4,2.6,8.75,2.75,7.5625,20.796875,1
"21",133,1,28,6.75,8,9,2,3,4.1,10.75,4.75,22.5625,107.171875,4
"22",133,1,28,6.75,8,9,3,5,4,12.75,6.75,45.5625,307.546875,9
"23",163,1,28,7.17,10,10,0,5,3.5,7.17,1.17,1.3689,1.601613,0
"24",163,1,28,7.17,10,10,1,4,4.8,9.17,3.17,10.0489,31.855013,1
"25",163,1,28,7.17,10,10,2,5,5.8,11.17,5.17,26.7289,138.188413,4
"26",163,1,28,7.17,10,10,3,5,7.5,13.17,7.17,51.4089,368.601813,9
"27",190,0,28,6.67,9,8,0,0,2.9,6.67,0.67,0.4489,0.300763,0
"28",190,0,28,6.67,9,8,1,NA,6.1,8.67,2.67,7.1289,19.034163,1
"29",190,0,28,6.67,9,8,3,0,NA,12.67,6.67,44.4889,296.740963,9
"30",227,0,29,6.25,12,10,0,0,1.8,6.25,0.25,0.0625,0.015625,0
"31",227,0,29,6.25,12,10,1,0,3.8,8.25,2.25,5.0625,11.390625,1
"32",227,0,29,6.25,12,10,2,2,4,10.25,4.25,18.0625,76.765625,4
"33",227,0,29,6.25,12,10,3,1,NA,12.25,6.25,39.0625,244.140625,9
"34",248,0,28,7.5,9,9,0,1,3.5,7.5,1.5,2.25,3.375,0
"35",248,0,28,7.5,9,9,1,2,5.7,9.5,3.5,12.25,42.875,1
"36",248,0,28,7.5,9,9,2,2,7,11.5,5.5,30.25,166.375,4
"37",248,0,28,7.5,9,9,3,0,6.9,13.5,7.5,56.25,421.875,9
"38",251,1,29,7.42,6,9,0,2,2.6,7.42,1.42,2.0164,2.863288,0
"39",251,1,29,7.42,6,9,1,3,3.8,9.42,3.42,11.6964,40.001688,1
"40",251,1,29,7.42,6,9,2,4,6.3,11.42,5.42,29.3764,159.220088,4
"41",251,1,29,7.42,6,9,3,4,6.1,13.42,7.42,55.0564,408.518488,9
"42",300,1,28,6.08,7,11,0,0,1.8,6.08,0.0800000000000001,0.00640000000000001,0.000512000000000001,0
"43",300,1,28,6.08,7,11,1,6,3.7,8.08,2.08,4.3264,8.998912,1
"44",300,1,28,6.08,7,11,2,0,4.4,10.08,4.08,16.6464,67.917312,4
"45",300,1,28,6.08,7,11,3,3,4.2,12.08,6.08,36.9664,224.755712,9
"46",326,1,29,6.08,13,10,0,4,1.8,6.08,0.0800000000000001,0.00640000000000001,0.000512000000000001,0
"47",326,1,29,6.08,13,10,1,2,3.2,8.08,2.08,4.3264,8.998912,1
"48",326,1,29,6.08,13,10,3,3,5.4,12.08,6.08,36.9664,224.755712,9
"49",348,1,27,7,10,11,0,1,2.2,7,1,1,1,0
"50",348,1,27,7,10,11,1,0,4,9,3,9,27,1
"51",348,1,27,7,10,11,2,2,5.1,11,5,25,125,4
"52",348,1,27,7,10,11,3,0,6.3,13,7,49,343,9
"53",382,0,27,7.17,7,4,0,0,2.5,7.17,1.17,1.3689,1.601613,0
"54",382,0,27,7.17,7,4,1,0,3.7,9.17,3.17,10.0489,31.855013,1
"55",382,0,27,7.17,7,4,2,0,4.1,11.17,5.17,26.7289,138.188413,4
"56",382,0,27,7.17,7,4,3,0,7.2,13.17,7.17,51.4089,368.601813,9
"57",400,1,27,6,8,8,0,2,2.4,6,0,0,0,0
"58",400,1,27,6,8,8,1,6,5,8,2,4,8,1
"59",400,1,27,6,8,8,2,3,5.1,10,4,16,64,4
"60",400,1,27,6,8,8,3,5,5.8,12,6,36,216,9
"61",405,1,27,6.25,14,11,0,4,3.1,6.25,0.25,0.0625,0.015625,0
"62",405,1,27,6.25,14,11,1,4,4.1,8.25,2.25,5.0625,11.390625,1
"63",405,1,27,6.25,14,11,3,4,5.5,12.25,6.25,39.0625,244.140625,9
"64",427,1,28,7.5,9,3,0,3,2.8,7.5,1.5,2.25,3.375,0
"65",427,1,28,7.5,9,3,1,2,5.7,9.5,3.5,12.25,42.875,1
"66",427,1,28,7.5,9,3,2,3,5.3,11.5,5.5,30.25,166.375,4
"67",427,1,28,7.5,9,3,3,4,5.8,13.5,7.5,56.25,421.875,9
"68",431,0,27,6.42,10,9,0,0,1.4,6.42,0.42,0.1764,0.074088,0
"69",431,0,27,6.42,10,9,1,1,2.2,8.42,2.42,5.8564,14.172488,1
"70",431,0,27,6.42,10,9,2,1,2.3,10.42,4.42,19.5364,86.350888,4
"71",431,0,27,6.42,10,9,3,0,NA,12.42,6.42,41.2164,264.609288,9
"72",480,0,27,7.67,10,11,0,0,3.5,7.67,1.67,2.7889,4.657463,0
"73",480,0,27,7.67,10,11,1,1,4.3,9.67,3.67,13.4689,49.430863,1
"74",480,0,27,7.67,10,11,2,2,4.8,11.67,5.67,32.1489,182.284263,4
"75",480,0,27,7.67,10,11,3,1,5.9,13.67,7.67,58.8289,451.217663,9
"76",484,0,28,8,13,11,0,0,6.7,8,2,4,8,0
"77",484,0,28,8,13,11,1,0,8.2,10,4,16,64,1
"78",484,0,28,8,13,11,2,1,6.9,12,6,36,216,4
"79",484,0,28,8,13,11,3,0,NA,14,8,64,512,9
"80",486,1,27,6.67,7,7,0,1,3.1,6.67,0.67,0.4489,0.300763,0
"81",486,1,27,6.67,7,7,1,1,4.7,8.67,2.67,7.1289,19.034163,1
"82",486,1,27,6.67,7,7,2,0,5.6,10.67,4.67,21.8089,101.847563,4
"83",486,1,27,6.67,7,7,3,1,6.4,12.67,6.67,44.4889,296.740963,9
"84",494,1,27,7.42,10,9,0,2,2.3,7.42,1.42,2.0164,2.863288,0
"85",494,1,27,7.42,10,9,1,6,4.1,9.42,3.42,11.6964,40.001688,1
"86",494,1,27,7.42,10,9,2,5,5.8,11.42,5.42,29.3764,159.220088,4
"87",494,1,27,7.42,10,9,3,4,6.9,13.42,7.42,55.0564,408.518488,9
"88",509,1,27,6.33,11,10,0,3,2.1,6.33,0.33,0.1089,0.035937,0
"89",509,1,27,6.33,11,10,1,3,3.9,8.33,2.33,5.4289,12.649337,1
"90",509,1,27,6.33,11,10,2,2,5,10.33,4.33,18.7489,81.182737,4
"91",509,1,27,6.33,11,10,3,9,5.3,12.33,6.33,40.0689,253.636137,9
"92",522,0,27,7.17,9,9,0,1,3,7.17,1.17,1.3689,1.601613,0
"93",522,0,27,7.17,9,9,1,NA,4.2,9.17,3.17,10.0489,31.855013,1
"94",522,0,27,7.17,9,9,2,2,5.6,11.17,5.17,26.7289,138.188413,4
"95",522,0,27,7.17,9,9,3,1,6.2,13.17,7.17,51.4089,368.601813,9
"96",533,0,28,6.42,11,8,0,0,1.8,6.42,0.42,0.1764,0.074088,0
"97",533,0,28,6.42,11,8,1,0,2.7,8.42,2.42,5.8564,14.172488,1
"98",533,0,28,6.42,11,8,2,1,4,10.42,4.42,19.5364,86.350888,4
"99",533,0,28,6.42,11,8,3,0,4.5,12.42,6.42,41.2164,264.609288,9
"100",555,0,28,7.75,9,5,0,1,3.8,7.75,1.75,3.0625,5.359375,0
"101",555,0,28,7.75,9,5,1,3,5.7,9.75,3.75,14.0625,52.734375,1
"102",555,0,28,7.75,9,5,2,0,6.2,11.75,5.75,33.0625,190.109375,4
"103",555,0,28,7.75,9,5,3,0,6.8,13.75,7.75,60.0625,465.484375,9
"104",568,0,27,6,8,8,0,2,1.8,6,0,0,0,0
"105",568,0,27,6,8,8,1,0,4.2,8,2,4,8,1
"106",568,0,27,6,8,8,2,1,5.1,10,4,16,64,4
"107",568,0,27,6,8,8,3,2,7.2,12,6,36,216,9
"108",637,1,27,6.17,4,6,0,0,2.6,6.17,0.17,0.0289,0.00491299999999999,0
"109",637,1,27,6.17,4,6,1,3,2.5,8.17,2.17,4.7089,10.218313,1
"110",637,1,27,6.17,4,6,2,2,3.3,10.17,4.17,17.3889,72.511713,4
"111",637,1,27,6.17,4,6,3,2,4.4,12.17,6.17,38.0689,234.885113,9
"112",648,0,27,8,7,7,0,5,3.6,8,2,4,8,0
"113",648,0,27,8,7,7,1,0,5.2,10,4,16,64,1
"114",648,0,27,8,7,7,2,5,6,12,6,36,216,4
"115",648,0,27,8,7,7,3,3,7.5,14,8,64,512,9
"116",689,0,26,6,12,13,0,0,1.8,6,0,0,0,0
"117",689,0,26,6,12,13,1,1,2.4,8,2,4,8,1
"118",689,0,26,6,12,13,2,2,3.7,10,4,16,64,4
"119",689,0,26,6,12,13,3,2,5.4,12,6,36,216,9
"120",747,1,26,6.67,6,9,0,1,3,6.67,0.67,0.4489,0.300763,0
"121",747,1,26,6.67,6,9,1,4,4.7,8.67,2.67,7.1289,19.034163,1
"122",747,1,26,6.67,6,9,2,1,6.5,10.67,4.67,21.8089,101.847563,4
"123",747,1,26,6.67,6,9,3,1,6.1,12.67,6.67,44.4889,296.740963,9
"124",756,0,26,6.5,9,7,0,3,2.3,6.5,0.5,0.25,0.125,0
"125",756,0,26,6.5,9,7,1,2,4.2,8.5,2.5,6.25,15.625,1
"126",756,0,26,6.5,9,7,3,5,6.7,12.5,6.5,42.25,274.625,9
"127",761,1,26,7.83,9,11,0,1,2.1,7.83,1.83,3.3489,6.128487,0
"128",761,1,26,7.83,9,11,1,3,2.5,9.83,3.83,14.6689,56.181887,1
"129",761,1,26,7.83,9,11,2,3,4,11.83,5.83,33.9889,198.155287,4
"130",761,1,26,7.83,9,11,3,1,3.3,13.83,7.83,61.3089,480.048687,9
"131",768,0,27,6.92,12,11,0,0,2.8,6.92,0.92,0.8464,0.778688,0
"132",768,0,27,6.92,12,11,1,0,5,8.92,2.92,8.5264,24.897088,1
"133",768,0,27,6.92,12,11,2,0,6,10.92,4.92,24.2064,119.095488,4
"134",768,0,27,6.92,12,11,3,0,6.1,12.92,6.92,47.8864,331.373888,9
"135",780,1,26,6.08,9,11,0,1,1.8,6.08,0.0800000000000001,0.00640000000000001,0.000512000000000001,0
"136",780,1,26,6.08,9,11,1,3,2.9,8.08,2.08,4.3264,8.998912,1
"137",780,1,26,6.08,9,11,2,2,6,10.08,4.08,16.6464,67.917312,4
"138",780,1,26,6.08,9,11,3,3,NA,12.08,6.08,36.9664,224.755712,9
"139",798,0,27,6,10,12,0,1,1.8,6,0,0,0,0
"140",798,0,27,6,10,12,1,3,2.4,8,2,4,8,1
"141",798,0,27,6,10,12,2,3,3.5,10,4,16,64,4
"142",798,0,27,6,10,12,3,5,4.4,12,6,36,216,9
"143",813,1,26,7,3,7,0,1,2.8,7,1,1,1,0
"144",813,1,26,7,3,7,1,2,3.8,9,3,9,27,1
"145",813,1,26,7,3,7,2,3,3.9,11,5,25,125,4
"146",813,1,26,7,3,7,3,1,5,13,7,49,343,9
"147",828,0,26,6.42,9,7,0,2,1.7,6.42,0.42,0.1764,0.074088,0
